;Neighborhood;Densidad_Poblacion;bar;bus;cafe;clothes_shop;dog_parks;gym_fitness;hospitals;luxury_shops;nightclub;parks;private_school;pub;public_transport;restaurants;school;supermarkets;Crimenes_Barrio;Avg_price;security
0;ARLETA NC;0.19617282282754397;0.0;0.11991434689507495;0.0;0.01282051282051282;0.0;0.0;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.01020408163265306;0.1714285714285714;0.18181818181818182;0.05830473735695542;0.09983584986452834;0.9416952626430446
1;ARROYO SECO NC;0.1288431143736662;0.0;0.05781584582441114;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.06060606060606061;0.015306122448979591;0.11428571428571428;0.09090909090909091;0.03162896138378647;0.21978339446597597;0.9683710386162135
2;ARTS DISTRICT LITTLE TOKYO NC;0.12341116116869992;0.2727272727272727;0.08993576017130621;0.2878787878787879;0.08974358974358974;0.0;0.1388888888888889;0.0;0.0;0.0;0.0;0.0;0.30000000000000004;0.15151515151515152;0.39795918367346933;0.02857142857142857;0.36363636363636365;0.0922627827896216;0.21978339446597597;0.9077372172103784
3;ATWATER VILLAGE NC;0.004524485676207057;0.12121212121212122;0.08779443254817988;0.10606060606060606;0.01282051282051282;0.14285714285714285;0.1388888888888889;0.0;0.0;0.0;0.23809523809523808;0.0;0.1;0.0;0.09183673469387754;0.11428571428571428;0.09090909090909091;0.05847553685387327;0.3234120644069832;0.9415244631461267
4;BEL AIR-BEVERLY CREST NC;0.004890027733842148;0.06060606060606061;0.0278372591006424;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.01020408163265306;0.34285714285714286;0.0;0.0477617502290266;1.0;0.9522382497709734
5;BOYLE HEIGHTS NC;0.2802876352643525;0.0;0.4282655246252677;0.015151515151515152;0.01282051282051282;0.0;0.1111111111111111;0.2;0.0;0.0;0.3571428571428571;0.0;0.0;0.21212121212121213;0.1173469387755102;0.9999999999999999;0.4545454545454546;0.3196434948682515;0.051261813212200386;0.6803565051317485
6;CANOGA PARK NC;0.2815183395281739;0.09090909090909091;0.15845824411134904;0.12121212121212122;0.038461538461538464;0.0;0.08333333333333333;0.0;0.058823529411764705;0.2;0.07142857142857142;0.0;0.1;0.09090909090909091;0.17346938775510204;0.3142857142857143;0.4545454545454546;0.14715153020822014;0.09609636717935835;0.8528484697917799
7;CENTRAL ALAMEDA NC;0.44300156359812837;0.0;0.13490364025695933;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.030303030303030304;0.0;0.11428571428571428;0.0;0.07676661025107527;0.02451224126532567;0.9232333897489248
8;CENTRAL HOLLYWOOD NC;0.32851924356092943;0.33333333333333337;0.16488222698072805;0.21212121212121213;0.10256410256410256;0.0;0.1388888888888889;0.2;0.058823529411764705;0.9;0.07142857142857142;0.3333333333333333;0.1;0.09090909090909091;0.3214285714285714;0.2571428571428571;0.2727272727272727;0.22025371488905798;0.18375652008241858;0.779746285110942
9;CENTRAL SAN PEDRO NC;0.24214914683191;0.09090909090909091;0.029978586723768737;0.13636363636363635;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.16666666666666666;0.0;0.1;0.06060606060606061;0.12755102040816327;0.14285714285714285;0.2727272727272727;0.13344098877381488;0.13627746857124992;0.8665590112261852
10;CHATSWORTH NC;0.05037428558069339;0.12121212121212122;0.20128479657387582;0.07575757575757576;0.0;0.0;0.19444444444444442;0.0;0.0;0.0;0.42857142857142855;0.0;0.1;0.06060606060606061;0.20918367346938774;0.42857142857142855;0.2727272727272727;0.10626834153688494;0.1785264957726951;0.8937316584631151
11;COASTAL SAN PEDRO NC;0.08232094860734737;0.0;0.017130620985010708;0.015151515151515152;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.23809523809523808;0.0;0.0;0.0;0.04081632653061224;0.19999999999999998;0.18181818181818182;0.07288480350294241;0.13627746857124992;0.9271151964970576
12;COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU);0.36911279879644315;0.0;0.2226980728051392;0.015151515151515152;0.0;0.0;0.0;0.2;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.015306122448979591;0.19999999999999998;0.18181818181818182;0.22376286818937008;0.21978339446597597;0.7762371318106299
13;DEL REY NC;0.2150999972775165;0.0;0.1841541755888651;0.16666666666666669;0.01282051282051282;0.0;0.05555555555555555;0.2;0.058823529411764705;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.1377551020408163;0.19999999999999998;0.18181818181818182;0.08878468394329457;0.32277311734917613;0.9112153160567055
14;DOWNTOWN LOS ANGELES;0.23605016429855633;1.0;1.0;1.0;0.5;0.7142857142857142;0.5833333333333333;0.8;1.0;1.0;0.3333333333333333;0.0;1.0;1.0;0.9999999999999999;0.2571428571428571;0.4545454545454546;1.0;0.03021252982457104;0.0
15;EAGLE ROCK NC;0.14120229186474031;0.06060606060606061;0.18201284796573877;0.21212121212121213;0.02564102564102564;0.0;0.2777777777777778;0.0;0.058823529411764705;0.0;0.19047619047619047;0.0;0.0;0.0;0.14285714285714285;0.22857142857142854;0.4545454545454546;0.05696939583559772;0.3137380509219142;0.9430306041644023
16;EAST HOLLYWOOD NC;0.5120699217563222;0.18181818181818182;0.2334047109207709;0.21212121212121213;0.038461538461538464;0.0;0.027777777777777776;0.6000000000000001;0.0;0.0;0.09523809523809523;0.0;0.0;0.36363636363636365;0.32653061224489793;0.22857142857142854;0.7272727272727273;0.1704734251510023;0.18375652008241858;0.8295265748489977
17;ELYSIAN VALLEY RIVERSIDE NC;0.18061699333040734;0.030303030303030304;0.034261241970021415;0.015151515151515152;0.0;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.00510204081632653;0.02857142857142857;0.0;0.0073443783674673555;0.16984395418288953;0.9926556216325326
18;EMPOWERMENT CONGRESS CENTRAL AREA NC;0.32577068602771797;0.06060606060606061;0.3126338329764454;0.015151515151515152;0.0;0.0;0.0;0.2;0.0;0.0;0.07142857142857142;1.0;0.0;0.0;0.02040816326530612;0.2571428571428571;0.09090909090909091;0.2545688865425524;0.02451224126532567;0.7454311134574476
19;EMPOWERMENT CONGRESS NORTH AREA NC;0.3953502528165125;0.09090909090909091;0.38115631691648827;0.18181818181818182;0.02564102564102564;0.0;0.19444444444444442;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.2727272727272727;0.16326530612244897;0.45714285714285713;0.5454545454545454;0.36243653245966806;0.13335006777497463;0.6375634675403319
20;EMPOWERMENT CONGRESS SOUTHEAST AREA NDC;0.37642742067152607;0.0;0.3554603854389722;0.0;0.01282051282051282;0.0;0.05555555555555555;0.0;0.0;0.0;0.11904761904761904;1.0;0.0;0.030303030303030304;0.02040816326530612;0.48571428571428565;0.18181818181818182;0.44369051131158493;0.028628954901867593;0.556309488688415
21;EMPOWERMENT CONGRESS SOUTHWEST AREA NDC;0.2187952970411619;0.0;0.1563169164882227;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.00510204081632653;0.14285714285714285;0.18181818181818182;0.13415524121547134;0.21978339446597597;0.8658447587845286
22;EMPOWERMENT CONGRESS WEST AREA NDC;0.23287004660729707;0.0;0.23768736616702357;0.06060606060606061;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.12121212121212122;0.04081632653061224;0.19999999999999998;0.2727272727272727;0.17666878872102232;0.5010492363602236;0.8233312112789777
23;ENCINO NC;0.05353490662031826;0.0;0.18201284796573877;0.07575757575757576;0.0;1.0;0.16666666666666666;0.2;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.09090909090909091;0.2755102040816326;0.48571428571428565;0.5454545454545454;0.15364191109109826;0.3859346766678239;0.8463580889089017
24;FOOTHILL TRAILS DISTRICT NC;0.0;0.0;0.06423982869379015;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.26190476190476186;0.3333333333333333;0.0;0.0;0.0;0.2571428571428571;0.0;0.044516559787587534;0.21978339446597597;0.9554834402124125
25;GLASSELL PARK NC;0.1588290552283551;0.0;0.07922912205567452;0.045454545454545456;0.01282051282051282;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.6666666666666666;0.1;0.0;0.02551020408163265;0.11428571428571428;0.18181818181818182;0.04616244584879586;0.22721005125151553;0.9538375541512041
26;GRANADA HILLS NORTH NC;0.022190683860783236;0.0;0.08779443254817988;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.11904761904761904;0.3333333333333333;0.0;0.0;0.015306122448979591;0.19999999999999998;0.0;0.04153533220502151;0.19657780011009476;0.9584646677949785
27;GRANADA HILLS SOUTH NC;0.15029913135573156;0.030303030303030304;0.12633832976445397;0.07575757575757576;0.038461538461538464;0.0;0.16666666666666666;0.0;0.058823529411764705;0.0;0.047619047619047616;0.3333333333333333;0.0;0.0;0.07653061224489795;0.34285714285714286;0.7272727272727273;0.09246463674052452;0.19657780011009476;0.9075353632594755
28;GREATER CYPRESS PARK NC;0.18101719290951812;0.030303030303030304;0.07922912205567452;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.015306122448979591;0.08571428571428572;0.09090909090909091;0.03388040929770352;0.1332348927900258;0.9661195907022965
29;ECHO PARK NC;0.19770454141446264;0.2727272727272727;0.2740899357601713;0.18181818181818182;0.05128205128205128;0.0;0.1111111111111111;0.6000000000000001;0.0;0.2;0.2857142857142857;1.0;0.2;0.0;0.12755102040816327;0.2571428571428571;0.18181818181818182;0.16878095740881638;0.23513357337880328;0.8312190425911836
30;GREATER TOLUCA LAKE NC;0.15918539142989924;0.030303030303030304;0.0556745182012848;0.06060606060606061;0.01282051282051282;0.0;0.0;0.0;0.058823529411764705;0.0;0.023809523809523808;0.0;0.1;0.0;0.07653061224489795;0.05714285714285715;0.09090909090909091;0.028228498672422095;0.38890997762900004;0.971771501327578
31;GREATER VALLEY GLEN;0.21868189005354613;0.06060606060606061;0.20770877944325483;0.045454545454545456;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.030303030303030304;0.08163265306122448;0.5428571428571428;0.18181818181818182;0.11903172212474575;0.20476319365366283;0.8809682778752542
32;GREATER WILSHIRE NC;0.23169865363096412;0.0;0.2548179871520343;0.18181818181818182;0.05128205128205128;0.0;0.027777777777777776;0.0;0.0;0.0;0.07142857142857142;0.6666666666666666;0.1;0.0;0.1530612244897959;0.34285714285714286;0.09090909090909091;0.18769311988571963;0.7012859334690511;0.8123068801142803
33;HARBOR CITY NC;0.1862985589779444;0.0;0.021413276231263385;0.030303030303030304;0.02564102564102564;0.0;0.0;0.2;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.02551020408163265;0.14285714285714285;0.0;0.06418955638712483;0.10994487083906293;0.9358104436128751
34;HARBOR GATEWAY NORTH NC;0.21185750347158375;0.0;0.15417558886509636;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.15151515151515152;0.015306122448979591;0.19999999999999998;0.09090909090909091;0.1449156095212956;0.11286409452136073;0.8550843904787044
35;HARBOR GATEWAY SOUTH NC;0.12096263872069062;0.0;0.03854389721627409;0.07575757575757576;0.02564102564102564;0.0;0.027777777777777776;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.030303030303030304;0.12244897959183673;0.14285714285714285;0.0;0.0582426284489853;0.11286409452136073;0.9417573715510147
36;HERMON NC;0.1165519613786923;0.0;0.0;0.015151515151515152;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.047619047619047616;0.3333333333333333;0.0;0.0;0.00510204081632653;0.02857142857142857;0.09090909090909091;0.0;0.20668248094462013;1.0
37;HISTORIC CULTURAL NORTH NC;0.31855328686153633;0.06060606060606061;0.21413276231263384;0.16666666666666669;0.0;0.0;0.027777777777777776;0.2;0.23529411764705882;0.0;0.14285714285714285;0.0;0.2;0.3939393939393939;0.2193877551020408;0.1714285714285714;0.2727272727272727;0.1460490970917504;0.13335006777497463;0.8539509029082496
38;HISTORIC HIGHLAND PARK NC;0.24586097365352735;0.21212121212121213;0.19271948608137046;0.19696969696969696;0.05128205128205128;0.0;0.3055555555555555;0.0;0.0;0.1;0.23809523809523808;0.0;0.0;0.030303030303030304;0.14795918367346939;0.6;0.6363636363636364;0.10508827228545255;0.2161889603396913;0.8949117277145474
39;HOLLYWOOD HILLS WEST NC;0.07857808880983304;0.09090909090909091;0.1841541755888651;0.16666666666666669;0.10256410256410256;0.0;0.16666666666666666;0.0;0.0;0.4;0.16666666666666666;0.3333333333333333;0.1;0.30303030303030304;0.2346938775510204;0.08571428571428572;0.18181818181818182;0.23328105833579182;0.18375652008241858;0.7667189416642082
40;HOLLYWOOD STUDIO DISTRICT NC;0.4152207658764627;0.09090909090909091;0.14346895074946467;0.13636363636363635;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.11224489795918366;0.08571428571428572;0.18181818181818182;0.13926369889601417;0.18375652008241858;0.8607363011039858
41;HOLLYWOOD UNITED NC;0.025019243361410263;0.030303030303030304;0.1563169164882227;0.13636363636363635;0.01282051282051282;0.14285714285714285;0.1111111111111111;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.05612244897959183;0.02857142857142857;0.2727272727272727;0.11011909383103273;0.18375652008241858;0.8898809061689673
42;LA-32 NC;0.16567163764370707;0.0;0.15203426124197003;0.015151515151515152;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.09090909090909091;0.015306122448979591;0.45714285714285713;0.0;0.09007344378367468;0.3303381178916024;0.9099265562163253
43;LAKE BALBOA NC;0.07467073688126573;0.0;0.3019271948608137;0.030303030303030304;0.0;1.0;0.19444444444444442;0.0;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.12121212121212122;0.09693877551020408;0.45714285714285713;0.5454545454545454;0.14786578264987657;0.13589548471218046;0.8521342173501234
44;LINCOLN HEIGHTS NC;0.18138845101234904;0.030303030303030304;0.2826552462526767;0.045454545454545456;0.02564102564102564;0.0;0.05555555555555555;0.6000000000000001;0.0;0.0;0.42857142857142855;0.6666666666666666;0.0;0.030303030303030304;0.06632653061224489;0.2571428571428571;0.18181818181818182;0.09938977997919353;0.07268802917794606;0.9006102200208065
45;LOS FELIZ NC;0.05111816390475124;0.18181818181818182;0.18629550321199145;0.25757575757575757;0.038461538461538464;0.14285714285714285;0.19444444444444442;0.0;0.11764705882352941;0.0;0.14285714285714285;0.0;0.2;0.0;0.336734693877551;0.2857142857142857;0.4545454545454546;0.1258792292284521;0.5960682536302978;0.8741207707715479
46;MACARTHUR PARK NC;0.9473712876279541;0.030303030303030304;0.10492505353319058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.04591836734693877;0.08571428571428572;0.18181818181818182;0.11396984612518052;0.0;0.8860301538748194
47;MAR VISTA NC;0.24424717243318053;0.030303030303030304;0.1948608137044968;0.30303030303030304;0.038461538461538464;0.0;0.3611111111111111;0.0;0.0;0.0;0.09523809523809523;0.3333333333333333;0.1;0.0;0.18877551020408162;0.34285714285714286;0.5454545454545454;0.11699765538872414;0.5568474827479497;0.8830023446112758
48;NOHO NC;0.2875582382613069;0.18181818181818182;0.16274089935760172;0.15151515151515152;0.01282051282051282;0.5714285714285714;0.1111111111111111;0.0;0.0;0.1;0.11904761904761904;0.0;0.1;0.15151515151515152;0.1530612244897959;0.34285714285714286;0.4545454545454546;0.2521000574507399;0.21978339446597597;0.7478999425492601
